Country Name,Country Code,Series Name,Series Code,2021 [YR2021],TagGNI
Afghanistan,AFG,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,2157.11181691798,5.975378994232631
Albania,ALB,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,15903.618305645,44.054344336966764
Algeria,DZA,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,14213.3048846058,39.37203569142881
American Samoa,ASM,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,,
Andorra,AND,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,63828.5051461807,176.81026356282743
Angola,AGO,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,6800.61330666193,18.83826400737377
Antigua and Barbuda,ATG,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,24861.3711478501,68.86806412146842
Argentina,ARG,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,25772.618386908,71.39229470057619
Armenia,ARM,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,15464.0086707675,42.83658911569945
Aruba,ABW,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,34420.7541477901,95.34834943986178
Australia,AUS,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,57529.6963400824,159.36203972321997
Austria,AUT,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,64007.5433360827,177.3062142273759
Azerbaijan,AZE,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,19693.9063534123,54.553757211668426
"Bahamas, The",BHS,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,29228.3638661655,80.96499685918421
Bahrain,BHR,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,51553.0939020486,142.8063542993036
Bangladesh,BGD,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,7832.73091628663,21.697315557580694
Barbados,BRB,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,15398.4659740752,42.655030399100276
Belarus,BLR,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,26597.539831446,73.67739565497507
Belgium,BEL,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,61448.5246577079,170.2175198274457
Belize,BLZ,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,11301.5032575717,31.306103206569805
Benin,BEN,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,3427.21137670351,9.493660323278421
Bermuda,BMU,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,96262.1573483182,266.65417548010583
Bhutan,BTN,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,12697.5526242547,35.17327596746454
Bolivia,BOL,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,9213.40993667117,25.5219111819146
Bosnia and Herzegovina,BIH,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,18053.1155571506,50.00863035221772
Botswana,BWA,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,17996.4342503299,49.851618421966485
Brazil,BRA,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,17511.7648105761,48.509043796609696
British Virgin Islands,VGB,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,,
Brunei Darussalam,BRN,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,78749.7516275697,218.14335630905734
Bulgaria,BGR,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,29735.7064292229,82.37037792028504
Burkina Faso,BFA,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,2369.87723376336,6.564756880230914
Burundi,BDI,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,839.11202248885,2.3244100345951524
Cabo Verde,CPV,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,7579.20243154642,20.99502058600116
Cambodia,KHM,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,5973.4221548824,16.546875775297508
Cameroon,CMR,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,4715.73937106399,13.06298994754568
Canada,CAN,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,56471.2680552037,156.4301054160767
Cayman Islands,CYM,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,57128.4704817094,158.25061075265762
Central African Republic,CAF,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,1205.55490803321,3.339487279870388
Chad,TCD,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,2409.94747857809,6.675754788304958
Channel Islands,CHI,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,,
Chile,CHL,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,27443.5912571364,76.02102841312022
China,CHN,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,20701.1336318515,57.343860476042934
Colombia,COL,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,17225.9676087712,47.71736179715014
Comoros,COM,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,3465.75970667032,9.60044240074881
"Congo, Dem. Rep.",COD,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,1266.37130091874,3.5079537421571745
"Congo, Rep.",COG,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,5565.87747226461,15.417943136467064
Costa Rica,CRI,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,22320.3287860564,61.8291656123446
Cote d'Ivoire,CIV,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,5859.40175291878,16.231029786478615
Croatia,HRV,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,36752.8385478053,101.80841702993159
Cuba,CUB,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,,
Curacao,CUW,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,25455.971809432,70.51515736684765
Cyprus,CYP,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,44460.59375,123.1595394736842
Czechia,CZE,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,46397.1801409687,128.52404471182467
Denmark,DNK,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,72467.5460674831,200.7411248406734
Djibouti,DJI,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,5854.10600977132,16.21636013787069
Dominica,DMA,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,15823.1205251188,43.831358795342936
Dominican Republic,DOM,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,20958.234627322,58.05605159922992
Ecuador,ECU,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,13289.0897697124,36.8118830185939
"Egypt, Arab Rep.",EGY,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,15124.1534087455,41.89516179707895
El Salvador,SLV,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,10181.4481286696,28.203457420137394
Equatorial Guinea,GNQ,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,12596.6073105421,34.89364905967341
Eritrea,ERI,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,,
Estonia,EST,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,43275.7490229793,119.87742111628614
Eswatini,SWZ,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,9192.62127941734,25.464324873732245
Ethiopia,ETH,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,2575.0683146198,7.133153226093628
Faroe Islands,FRO,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,70122.4234310895,194.24494025232548
Fiji,FJI,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,10063.921475906,27.877898825224374
Finland,FIN,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,57709.0162742705,159.85877084285457
France,FRA,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,54159.9114896693,150.02745565005347
French Polynesia,PYF,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,,
Gabon,GAB,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,16244.3443500256,44.99818379508476
"Gambia, The",GMB,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,2708.31498170682,7.502257567054904
Georgia,GEO,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,17737.2159812259,49.13356227486399
