Country Name,Country Code,Time,Time Code,"GNI per capita, Atlas method (current US$) [NY.GNP.PCAP.CD]",Multidimensional poverty headcount ratio (UNDP) (% of population) [SI.POV.MPUN],Prevalence of undernourishment (% of population) [SN.ITK.DEFC.ZS]
Afghanistan,AFG,2017,YR2017,530,..,21.4
Afghanistan,AFG,2018,YR2018,520,..,22.6
Afghanistan,AFG,2019,YR2019,520,..,25.1
Afghanistan,AFG,2020,YR2020,490,..,27.7
Afghanistan,AFG,2021,YR2021,380,..,29.4
Afghanistan,AFG,2022,YR2022,370,..,30.4
Albania,ALB,2017,YR2017,4290,0.7,4.3
Albania,ALB,2018,YR2018,4880,..,4.2
Albania,ALB,2019,YR2019,5280,..,4.3
Albania,ALB,2020,YR2020,5320,..,4.4
Albania,ALB,2021,YR2021,6150,..,4.3
Albania,ALB,2022,YR2022,6820,..,4.5
Algeria,DZA,2017,YR2017,4440,..,2.5
Algeria,DZA,2018,YR2018,4450,1.4,2.5
Algeria,DZA,2019,YR2019,4480,..,2.5
Algeria,DZA,2020,YR2020,4020,..,2.5
Algeria,DZA,2021,YR2021,4120,..,2.5
Algeria,DZA,2022,YR2022,4430,..,2.5
American Samoa,ASM,2017,YR2017,..,..,..
American Samoa,ASM,2018,YR2018,..,..,..
American Samoa,ASM,2019,YR2019,..,..,..
American Samoa,ASM,2020,YR2020,..,..,..
American Samoa,ASM,2021,YR2021,..,..,..
American Samoa,ASM,2022,YR2022,..,..,..
Andorra,AND,2017,YR2017,..,..,..
Andorra,AND,2018,YR2018,..,..,..
Andorra,AND,2019,YR2019,46450,..,..
Andorra,AND,2020,YR2020,42450,..,..
Andorra,AND,2021,YR2021,44720,..,..
Andorra,AND,2022,YR2022,50150,..,..
Angola,AGO,2017,YR2017,2090,..,15.2
Angola,AGO,2018,YR2018,1970,..,15.7
Angola,AGO,2019,YR2019,2110,..,18
Angola,AGO,2020,YR2020,1680,..,20.5
Angola,AGO,2021,YR2021,1640,..,22.1
Angola,AGO,2022,YR2022,1870,..,23.2
Antigua and Barbuda,ATG,2017,YR2017,15820,..,..
Antigua and Barbuda,ATG,2018,YR2018,17460,..,..
Antigua and Barbuda,ATG,2019,YR2019,18240,..,..
Antigua and Barbuda,ATG,2020,YR2020,15370,..,..
Antigua and Barbuda,ATG,2021,YR2021,16670,..,..
Antigua and Barbuda,ATG,2022,YR2022,18900,..,..
Argentina,ARG,2017,YR2017,13070,..,3.4
Argentina,ARG,2018,YR2018,12390,..,3.5
Argentina,ARG,2019,YR2019,11210,0.4,3.5
Argentina,ARG,2020,YR2020,9040,..,3.4
Argentina,ARG,2021,YR2021,10070,..,3.3
Argentina,ARG,2022,YR2022,11820,..,3.2
Armenia,ARM,2017,YR2017,3900,..,2.5
Armenia,ARM,2018,YR2018,4220,..,2.5
Armenia,ARM,2019,YR2019,4650,..,2.5
Armenia,ARM,2020,YR2020,4230,..,2.5
Armenia,ARM,2021,YR2021,4580,..,2.5
Armenia,ARM,2022,YR2022,5680,..,2.5
Aruba,ABW,2017,YR2017,27110,..,..
Aruba,ABW,2018,YR2018,28130,..,..
Aruba,ABW,2019,YR2019,28720,..,..
Aruba,ABW,2020,YR2020,22220,..,..
Aruba,ABW,2021,YR2021,28020,..,..
Aruba,ABW,2022,YR2022,30590,..,..
Australia,AUS,2017,YR2017,51480,..,2.5
Australia,AUS,2018,YR2018,53080,..,2.5
Australia,AUS,2019,YR2019,54890,..,2.5
Australia,AUS,2020,YR2020,53630,..,2.5
Australia,AUS,2021,YR2021,57180,..,2.5
Australia,AUS,2022,YR2022,60710,..,2.5
Austria,AUT,2017,YR2017,45060,..,2.5
Austria,AUT,2018,YR2018,48990,..,2.5
Austria,AUT,2019,YR2019,51050,..,2.5
Austria,AUT,2020,YR2020,49050,..,2.5
Austria,AUT,2021,YR2021,53220,..,2.5
Austria,AUT,2022,YR2022,55930,..,2.5
Azerbaijan,AZE,2017,YR2017,4110,..,2.5
Azerbaijan,AZE,2018,YR2018,4080,..,2.5
Azerbaijan,AZE,2019,YR2019,4510,..,2.5
Azerbaijan,AZE,2020,YR2020,4480,..,2.5
Azerbaijan,AZE,2021,YR2021,4910,..,2.5
Azerbaijan,AZE,2022,YR2022,5670,..,2.5
"Bahamas, The",BHS,2017,YR2017,29040,..,..
"Bahamas, The",BHS,2018,YR2018,30150,..,..
"Bahamas, The",BHS,2019,YR2019,30960,..,..
"Bahamas, The",BHS,2020,YR2020,24180,..,..
"Bahamas, The",BHS,2021,YR2021,28150,..,..
"Bahamas, The",BHS,2022,YR2022,31780,..,..
Bahrain,BHR,2017,YR2017,22360,..,..
Bahrain,BHR,2018,YR2018,24200,..,..
Bahrain,BHR,2019,YR2019,25800,..,..
Bahrain,BHR,2020,YR2020,23870,..,..
Bahrain,BHR,2021,YR2021,25240,..,..
Bahrain,BHR,2022,YR2022,28310,..,..
Bangladesh,BGD,2017,YR2017,1640,..,13.7
Bangladesh,BGD,2018,YR2018,2020,..,12.8
Bangladesh,BGD,2019,YR2019,2220,24.6,11.9
Bangladesh,BGD,2020,YR2020,2320,..,12.1
Bangladesh,BGD,2021,YR2021,2600,..,11.8
Bangladesh,BGD,2022,YR2022,2850,..,11.9
Barbados,BRB,2017,YR2017,18240,..,2.5
Barbados,BRB,2018,YR2018,18820,..,2.5
Barbados,BRB,2019,YR2019,19490,..,2.9
Barbados,BRB,2020,YR2020,17610,..,3.5
Barbados,BRB,2021,YR2021,18320,..,3.9
Barbados,BRB,2022,YR2022,22290,..,3.5
Belarus,BLR,2017,YR2017,5320,..,2.5
Belarus,BLR,2018,YR2018,5730,..,2.5
Belarus,BLR,2019,YR2019,6370,..,2.5
Belarus,BLR,2020,YR2020,6410,..,2.5
Belarus,BLR,2021,YR2021,7040,..,2.5
Belarus,BLR,2022,YR2022,7210,..,2.5
Belgium,BEL,2017,YR2017,42480,..,2.5
Belgium,BEL,2018,YR2018,45980,..,2.5
Belgium,BEL,2019,YR2019,48050,..,2.5
Belgium,BEL,2020,YR2020,46090,..,2.5
Belgium,BEL,2021,YR2021,51210,..,2.5
Belgium,BEL,2022,YR2022,53680,..,2.5
Belize,BLZ,2017,YR2017,5490,..,5.6
Belize,BLZ,2018,YR2018,5630,..,4.9
Belize,BLZ,2019,YR2019,5870,..,4.5
Belize,BLZ,2020,YR2020,5170,..,4.4
Belize,BLZ,2021,YR2021,6090,..,4.3
Belize,BLZ,2022,YR2022,6710,..,4.6
Benin,BEN,2017,YR2017,1020,66.8,10.6
Benin,BEN,2018,YR2018,1120,..,11.4
Benin,BEN,2019,YR2019,1170,..,11.5
Benin,BEN,2020,YR2020,1190,..,10.8
Benin,BEN,2021,YR2021,1280,..,10.4
Benin,BEN,2022,YR2022,1350,..,10.3
Bermuda,BMU,2017,YR2017,113460,..,..
Bermuda,BMU,2018,YR2018,117160,..,..
Bermuda,BMU,2019,YR2019,116920,..,..
Bermuda,BMU,2020,YR2020,110950,..,..
Bermuda,BMU,2021,YR2021,120990,..,..
Bermuda,BMU,2022,YR2022,132240,..,..
Bhutan,BTN,2017,YR2017,2960,..,..
Bhutan,BTN,2018,YR2018,3150,..,..
Bhutan,BTN,2019,YR2019,3370,..,..
Bhutan,BTN,2020,YR2020,3040,..,..
Bhutan,BTN,2021,YR2021,3300,..,..
Bhutan,BTN,2022,YR2022,3600,..,..
Bolivia,BOL,2017,YR2017,3050,..,14.9
Bolivia,BOL,2018,YR2018,3320,..,14.5
Bolivia,BOL,2019,YR2019,3470,..,14.5
Bolivia,BOL,2020,YR2020,3150,..,16.9
Bolivia,BOL,2021,YR2021,3330,..,20.3
Bolivia,BOL,2022,YR2022,3530,..,23
Bosnia and Herzegovina,BIH,2017,YR2017,5070,..,2.5
Bosnia and Herzegovina,BIH,2018,YR2018,5720,..,2.5
Bosnia and Herzegovina,BIH,2019,YR2019,6180,..,2.5
Bosnia and Herzegovina,BIH,2020,YR2020,6160,..,2.5
Bosnia and Herzegovina,BIH,2021,YR2021,6970,..,2.5
Bosnia and Herzegovina,BIH,2022,YR2022,7710,..,2.5
Botswana,BWA,2017,YR2017,6210,..,22
Botswana,BWA,2018,YR2018,6680,..,22
Botswana,BWA,2019,YR2019,7520,..,22.7
Botswana,BWA,2020,YR2020,6600,..,22.9
Botswana,BWA,2021,YR2021,7530,..,24.2
Botswana,BWA,2022,YR2022,8250,..,24.3
Brazil,BRA,2017,YR2017,8830,..,2.5
Brazil,BRA,2018,YR2018,9320,..,2.5
Brazil,BRA,2019,YR2019,9410,..,2.5
Brazil,BRA,2020,YR2020,8080,..,3.4
Brazil,BRA,2021,YR2021,8060,..,4.2
